NamaPerusahaan ;KodeEmiten;Tahun;ROA;SukuBunga;HargaSaham
PT. Astra International, Tbk;ASII;2010;12,8;6,26;54550
PT. Astra Otoparts, Tbk;AUTO;;20,7;6,26;13950
Indo Kordsa, Tbk;BRAM;;8,3;6,26;2400
Indospring, Tbk;INDS;;11,5;6,26;10500
Nipress, Tbk;NIPS;;3,8;6,26;3975
Selamat Sempurna, Tbk;SMSM;;13,5;6,26;1070
PT. Astra International, Tbk;ASII;2011;14,2;5,04;74000
PT. Astra Otoparts, Tbk;AUTO;;16,3;5,04;3400
Indo Kordsa, Tbk;BRAM;;5,6;5,04;2150
Indospring, Tbk;INDS;;10,3;5,04;3500
Nipress, Tbk;NIPS;;4,2;5,04;4000
Selamat Sempurna, Tbk;SMSM;;19;5,04;1360
PT. Astra International, Tbk;ASII;2012;12,48;4,8;7600
PT. Astra Otoparts, Tbk;AUTO;;12,79;4,8;3700
Indo Kordsa, Tbk;BRAM;;9,81;4,8;3000
Indospring, Tbk;INDS;;8,05;4,8;4200
Nipress, Tbk;NIPS;;4,1;4,8;4100
Selamat Sempurna, Tbk;SMSM;;18,63;4,8;2525
PT. Astra International, Tbk;ASII;2013;10,42;7,22;6800
PT. Astra Otoparts, Tbk;AUTO;;8,39;7,22;3650
Indo Kordsa, Tbk;BRAM;;2,32;7,22;2250
Indospring, Tbk;INDS;;6,72;7,22;2675
Nipress, Tbk;NIPS;;4,24;7,22;325
Selamat Sempurna, Tbk;SMSM;;19,88;7,22;3450
PT. Astra International, Tbk;ASII;2014;9,37;6,9;7425
PT. Astra Otoparts, Tbk;AUTO;;6,65;6,9;4200
Indo Kordsa, Tbk;BRAM;;5,15;6,9;5000
Indospring, Tbk;INDS;;5,59;6,9;1600
Nipress, Tbk;NIPS;;4,15;6,9;487
Selamat Sempurna, Tbk;SMSM;;24,09;6,9;4750
PT. Astra International, Tbk;ASII;2015;6,36;7,15;6000
PT. Astra Otoparts, Tbk;AUTO;;2,25;7,15;1600
Indo Kordsa, Tbk;BRAM;;4,31;7,15;4680
Indospring, Tbk;INDS;;0,08;7,15;350
Nipress, Tbk;NIPS;;1,98;7,15;425
Selamat Sempurna, Tbk;SMSM;;20,78;7,15;4760
PT. Astra International, Tbk;ASII;2016;6,99;4;8275
PT. Astra Otoparts, Tbk;AUTO;;3,31;4;2050
Indo Kordsa, Tbk;BRAM;;7,53;4;6675
Indospring, Tbk;INDS;;2;4;810
Nipress, Tbk;NIPS;;3,69;4;354
Selamat Sempurna, Tbk;SMSM;;22,27;4;980
PT. Astra International, Tbk;ASII;2017;7,84;3,5;8300
PT. Astra Otoparts, Tbk;AUTO;;3,71;3,5;2060
Indo Kordsa, Tbk;BRAM;;8,07;3,5;7375
Indospring, Tbk;INDS;;4,67;3,5;1260
Nipress, Tbk;NIPS;;2,32;3,5;500
Selamat Sempurna, Tbk;SMSM;;22,73;3,5;1255
